@relation QueryResult

@attribute gender {Male,Female}
@attribute course {BSCS,BSIT,BSDS}
@attribute yearlvl {1st,2nd,3rd,4th}
@attribute subjid {2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048}

@data
Male,BSCS,1st,2001
Male,BSCS,1st,2002
Male,BSCS,1st,2003
Male,BSCS,1st,2004
Male,BSCS,1st,2001
Male,BSCS,1st,2002
Male,BSCS,1st,2003
Male,BSCS,1st,2004
Male,BSCS,1st,2001
Male,BSCS,1st,2002
Male,BSCS,1st,2003
Male,BSCS,1st,2004
Male,BSCS,1st,2001
Male,BSCS,1st,2002
Male,BSCS,1st,2003
Male,BSCS,1st,2004
Male,BSCS,2nd,2005
Male,BSCS,2nd,2006
Male,BSCS,2nd,2007
Male,BSCS,2nd,2008
Male,BSCS,2nd,2005
Male,BSCS,2nd,2006
Male,BSCS,2nd,2007
Male,BSCS,2nd,2008
Male,BSCS,2nd,2005
Male,BSCS,2nd,2006
Male,BSCS,2nd,2007
Male,BSCS,2nd,2008
Male,BSCS,2nd,2005
Male,BSCS,2nd,2006
Male,BSCS,2nd,2007
Male,BSCS,2nd,2008
Female,BSCS,3rd,2009
Female,BSCS,3rd,2010
Female,BSCS,3rd,2011
Female,BSCS,3rd,2012
Female,BSCS,3rd,2009
Female,BSCS,3rd,2010
Female,BSCS,3rd,2011
Female,BSCS,3rd,2012
Female,BSCS,3rd,2009
Female,BSCS,3rd,2010
Female,BSCS,3rd,2011
Female,BSCS,3rd,2012
Female,BSCS,3rd,2009
Female,BSCS,3rd,2010
Female,BSCS,3rd,2011
Female,BSCS,3rd,2012
Female,BSCS,4th,2013
Female,BSCS,4th,2014
Female,BSCS,4th,2015
Female,BSCS,4th,2016
Female,BSCS,4th,2013
Female,BSCS,4th,2014
Female,BSCS,4th,2015
Female,BSCS,4th,2016
Male,BSCS,4th,2013
Male,BSCS,4th,2014
Male,BSCS,4th,2015
Male,BSCS,4th,2016
Male,BSCS,4th,2013
Male,BSCS,4th,2014
Male,BSCS,4th,2015
Male,BSCS,4th,2016
Male,BSIT,1st,2017
Male,BSIT,1st,2018
Male,BSIT,1st,2019
Male,BSIT,1st,2020
Male,BSIT,1st,2017
Male,BSIT,1st,2018
Male,BSIT,1st,2019
Male,BSIT,1st,2020
Male,BSIT,1st,2017
Male,BSIT,1st,2018
Male,BSIT,1st,2019
Male,BSIT,1st,2020
Male,BSIT,1st,2017
Male,BSIT,1st,2018
Male,BSIT,1st,2019
Male,BSIT,1st,2020
Female,BSIT,2nd,2021
Female,BSIT,2nd,2022
Female,BSIT,2nd,2023
Female,BSIT,2nd,2024
Female,BSIT,2nd,2021
Female,BSIT,2nd,2022
Female,BSIT,2nd,2023
Female,BSIT,2nd,2024
Female,BSIT,2nd,2021
Female,BSIT,2nd,2022
Female,BSIT,2nd,2023
Female,BSIT,2nd,2024
Female,BSIT,2nd,2021
Female,BSIT,2nd,2022
Female,BSIT,2nd,2023
Female,BSIT,2nd,2024
Male,BSIT,3rd,2025
Male,BSIT,3rd,2026
Male,BSIT,3rd,2027
Male,BSIT,3rd,2028
Male,BSIT,3rd,2025
Male,BSIT,3rd,2026
Male,BSIT,3rd,2027
Male,BSIT,3rd,2028
Male,BSIT,3rd,2025
Male,BSIT,3rd,2026
Male,BSIT,3rd,2027
Male,BSIT,3rd,2028
Male,BSIT,3rd,2025
Male,BSIT,3rd,2026
Male,BSIT,3rd,2027
Male,BSIT,3rd,2028
Female,BSIT,4th,2029
Female,BSIT,4th,2030
Female,BSIT,4th,2031
Female,BSIT,4th,2032
Female,BSIT,4th,2029
Female,BSIT,4th,2030
Female,BSIT,4th,2031
Female,BSIT,4th,2032
Female,BSIT,4th,2029
Female,BSIT,4th,2030
Female,BSIT,4th,2031
Female,BSIT,4th,2032
Female,BSIT,4th,2029
Female,BSIT,4th,2030
Female,BSIT,4th,2031
Female,BSIT,4th,2032
Male,BSDS,1st,2033
Male,BSDS,1st,2034
Male,BSDS,1st,2035
Male,BSDS,1st,2036
Male,BSDS,1st,2033
Male,BSDS,1st,2034
Male,BSDS,1st,2035
Male,BSDS,1st,2036
Male,BSDS,1st,2033
Male,BSDS,1st,2034
Male,BSDS,1st,2035
Male,BSDS,1st,2036
Male,BSDS,1st,2033
Male,BSDS,1st,2034
Male,BSDS,1st,2035
Male,BSDS,1st,2036
Female,BSDS,2nd,2037
Female,BSDS,2nd,2038
Female,BSDS,2nd,2039
Female,BSDS,2nd,2040
Female,BSDS,2nd,2037
Female,BSDS,2nd,2038
Female,BSDS,2nd,2039
Female,BSDS,2nd,2040
Female,BSDS,2nd,2037
Female,BSDS,2nd,2038
Female,BSDS,2nd,2039
Female,BSDS,2nd,2040
Female,BSDS,2nd,2037
Female,BSDS,2nd,2038
Female,BSDS,2nd,2039
Female,BSDS,2nd,2040
Male,BSDS,3rd,2041
Male,BSDS,3rd,2042
Male,BSDS,3rd,2043
Male,BSDS,3rd,2044
Male,BSDS,3rd,2041
Male,BSDS,3rd,2042
Male,BSDS,3rd,2043
Male,BSDS,3rd,2044
Male,BSDS,3rd,2041
Male,BSDS,3rd,2042
Male,BSDS,3rd,2043
Male,BSDS,3rd,2044
Male,BSDS,3rd,2041
Male,BSDS,3rd,2042
Male,BSDS,3rd,2043
Male,BSDS,3rd,2044
Female,BSDS,4th,2045
Female,BSDS,4th,2046
Female,BSDS,4th,2047
Female,BSDS,4th,2048
Female,BSDS,4th,2045
Female,BSDS,4th,2046
Female,BSDS,4th,2047
Female,BSDS,4th,2048
Female,BSDS,4th,2045
Female,BSDS,4th,2046
Female,BSDS,4th,2047
Female,BSDS,4th,2048
Female,BSDS,4th,2045
Female,BSDS,4th,2046
Female,BSDS,4th,2047
Female,BSDS,4th,2048
